# E (eV),Tr beamline
242.703568,0.820107
242.973574,0.803091
243.243581,0.792543
243.513588,0.758046
243.783595,0.729262
244.053601,0.738362
244.323608,0.785022
244.593615,0.792825
244.863622,0.768551
245.133628,0.768029
245.403635,0.802399
245.673642,0.833026
245.943649,0.828663
246.213655,0.824033
246.483662,0.832596
246.753669,0.845697
247.023676,0.828997
247.293682,0.809992
247.563689,0.812869
247.833696,0.818002
248.103703,0.753400
248.373709,0.673723
248.643716,0.685934
248.913723,0.761744
249.183730,0.778944
249.453736,0.708892
249.723743,0.696721
249.993750,0.763300
250.263757,0.824681
250.533763,0.811732
250.803770,0.788031
251.073777,0.811074
251.343784,0.848878
251.613790,0.847816
251.883797,0.815480
252.153804,0.813899
252.423811,0.844849
252.693817,0.851581
252.963824,0.795861
253.233831,0.758163
253.503838,0.791827
253.773844,0.846990
254.043851,0.834230
254.313858,0.779550
254.583865,0.779663
254.853871,0.834487
255.123878,0.869293
255.393885,0.849819
255.663892,0.828483
255.933898,0.846136
256.203905,0.878785
256.473912,0.886397
256.743919,0.871191
257.013925,0.866849
257.283932,0.881932
257.553939,0.896682
257.823946,0.893802
258.093952,0.884027
258.363959,0.886280
258.633966,0.897735
258.903973,0.903138
259.173979,0.896010
259.443986,0.888891
259.713993,0.883590
259.984000,0.841232
260.254006,0.778947
260.524013,0.759832
260.794020,0.791810
261.064027,0.851169
261.334033,0.838004
261.604040,0.803582
261.874047,0.801193
262.144054,0.838370
262.414060,0.881089
262.684067,0.874141
262.954074,0.860053
263.224081,0.859105
263.494087,0.869801
263.764094,0.834813
264.034101,0.717382
264.304108,0.674896
264.574114,0.678208
264.844121,0.696751
265.114128,0.681649
265.384135,0.590680
265.654141,0.515628
265.924148,0.519755
266.194155,0.610223
266.464162,0.694747
266.734168,0.685879
267.004175,0.650262
267.274182,0.663675
267.544189,0.728402
267.814195,0.766867
268.084202,0.747115
268.354209,0.732185
268.624216,0.739415
268.894222,0.757000
269.164229,0.726089
269.434236,0.660427
269.704243,0.635745
269.974249,0.638206
270.244256,0.666148
270.514263,0.707370
270.784270,0.677374
271.054276,0.630163
271.324283,0.626995
271.594290,0.677831
271.864297,0.759322
272.134303,0.765479
272.404310,0.727627
272.674317,0.675954
272.944324,0.653385
273.214330,0.694634
273.484337,0.743101
273.754344,0.775008
274.024351,0.745349
274.294357,0.677162
274.564364,0.611724
274.834371,0.626773
275.104378,0.656484
275.374384,0.649130
275.644391,0.619904
275.914398,0.625271
276.184405,0.668285
276.454411,0.698571
276.724418,0.695926
276.994425,0.675369
277.264432,0.691265
277.534438,0.733800
277.804445,0.753672
278.074452,0.668372
278.344459,0.526867
278.614465,0.476357
278.884472,0.510121
279.154479,0.614407
279.424486,0.654827
279.694492,0.561973
279.964499,0.473216
280.234506,0.457276
280.504513,0.529642
280.774519,0.590564
281.044526,0.541126
281.314533,0.437699
281.584540,0.419711
281.854546,0.476649
282.124553,0.554863
282.394560,0.590640
282.664567,0.551017
282.934573,0.537836
283.204580,0.575025
283.474587,0.625182
283.744594,0.621916
284.014600,0.567928
284.284607,0.551352
284.554614,0.574478
284.824621,0.640062
285.094627,0.698214
285.364634,0.670945
285.634641,0.640893
285.904648,0.643402
286.174654,0.679526
286.444661,0.742224
286.714668,0.746761
286.984675,0.677362
287.254681,0.622423
287.524688,0.628215
287.794695,0.679650
288.064702,0.748247
288.334708,0.735540
288.604715,0.630567
288.874722,0.560357
289.144729,0.571154
289.414735,0.638484
289.684742,0.729180
289.954749,0.736285
290.224756,0.684793
290.494762,0.674859
290.764769,0.700099
291.034776,0.738604
291.304783,0.720170
291.574789,0.648892
291.844796,0.626703
292.114803,0.654991
292.384810,0.676397
292.654816,0.664282
292.924823,0.630557
293.194830,0.638166
293.464837,0.674161
293.734843,0.708939
294.004850,0.720250
294.274857,0.706381
294.544864,0.649336
294.814870,0.620370
295.084877,0.634768
295.354884,0.667886
295.624891,0.725785
295.894897,0.735861
296.164904,0.699373
296.434911,0.694051
296.704918,0.712335
296.974924,0.732713
297.244931,0.725055
297.514938,0.665695
297.784945,0.644329
298.054951,0.666287
298.324958,0.691409
298.594965,0.683892
298.864972,0.661126
299.134978,0.667766
299.404985,0.710200
299.674992,0.746465
299.944999,0.760676
300.215005,0.757624
300.485012,0.753136
300.755019,0.775430
301.025026,0.803449
301.295032,0.821731
301.565039,0.827328
301.835046,0.825895
302.105053,0.823888
302.375059,0.835499
302.645066,0.848278
302.915073,0.857572
303.185080,0.861228
303.455086,0.860400
303.725093,0.860155
303.995100,0.866599
304.265107,0.872205
